"ID","Authors-Year","Title","Journal/Conference","Sensor / system configuration","Calibration target / scene geometry","Calibration objective","Introduction motivation/problem","Limitation of prior work","Data acquisition strategy","Automation level","Prior hand-eye estimate","Known target pose / geometry","Manual teaching / initialization","Number of robot poses","Pose diversity / motion selection / degeneracy","Real-time visual feedback controls motion","Considers target imperfection","Imperfection type","Treatment of imperfection","Author-stated limitations","Best Introduction category","Chinese claim supported","Verbatim / faithful English evidence","Page / Section","Precursor references to track","Relation to our work","Evidence confidence"
"P01","Niola, Rossi, Savino & Strano—2011","A method for the calibration of a 3-D laser scanner","Robotics and Computer-Integrated Manufacturing 27","Camera-plus-laser triangulation scanner; not robot hand-eye","Rectangular target translated by a digital micrometer","Calibrate scanner reconstruction mapping","Scanner must be calibrated to recover metric 3-D from laser stripe images","Existing scanner calibration commonly uses more elaborate reference geometry; details are limited","Micrometer moves a target through known depths; images acquired at each step","manual / predefined apparatus motion","N/A","Yes: target dimensions and micrometer displacement","Operator sets apparatus and acquires images","Not stated","No robot-pose analysis","No","No","None","Ideal known target and metrology stage","Not stated beyond laboratory apparatus dependence","Background","线激光三角测量系统必须建立图像激光条纹与三维坐标之间的标定关系。","“relationship between the 3-D coordinates of the laser stripe ... and its digital coordinates”","PDF p.1, Abstract","Blais 2004 range-sensor review; McIvor 1999 laser-stripe-profiler calibration","peripheral","Medium—事实来自摘要和方法，但不是机器人手眼论文"
"P02","Yin et al.—2014","A novel TCF calibration method for robotic visual measurement","Optik 125","Robot-mounted line-structured-light camera; tool calibration frame (TCF)","Known-diameter standard sphere","Recover sensor tool-coordinate frame after collision/reinstallation","Fast, convenient TCF recovery is needed in industrial robotic measurement","Traditional TCP/TCF procedures impose operational restrictions and are inconvenient","Translate and rotate sensor around a standard sphere at multiple robot poses; solve sphere center and orientation","semi-automatic / predefined motions","Not stated","Known sphere diameter; sphere pose need not be premeasured","Robot motions must be commanded; no online feature servo stated","Four poses stated for comparison experiment","Uses translational and rotational excitation; no formal degeneracy analysis","No","No","Sphere size tolerance only through use of standard artifact","Pre-calibrated high-quality sphere","Not stated","Background / motion diversity","球体能把不同扫描方向的二维截面约束到同一三维中心，但仍需要设计平移和旋转运动。","“a standard sphere with known diameter is utilized as the calibration target”","PDF p.1, Abstract","Park et al. 1998 sphere center estimation; related TCF recovery work in its Intro","supporting literature","Medium—采集过程明确，自动化边界需由方法推断"
"P03","Li et al.—2021","A robot hand-eye calibration method of line laser sensor based on 3D reconstruction","Robotics and Computer-Integrated Manufacturing 71","Eye-in-hand line laser profiler","Arbitrary nonplanar/polyline object plus CAD/sample point cloud; later multiple poses","Calibrate hand-eye by minimizing multi-view reconstruction inconsistency","Hand-eye quality should be judged by downstream 3-D reconstruction; line-sensor noise and expensive targets reduce practicality","Traditional equation residual is not an intuitive reconstruction metric; line profiler has too little scan range for generic ICP; many targets are costly","Dense predefined translation along a noncoplanar polyline estimates rotation; multiple manually/programmed poses estimate translation","predefined automatic execution after trajectory design","Yes: nominal hand-eye rotation is used as optimization initial value","CAD/sample model or geometric reconstruction reference required; exact object pose not required","Trajectory and suitable poses are designed; no feedback bootstrap","600 dense trajectory points for rotation; 6 poses shown for translation","Explicitly requires noncollinear/noncoplanar translation path and favorable laser incidence","No","Only acknowledges errors","Sensor range error and calibration-plate size error","Not modeled; pose strategy reduces sensor absolute-error influence","About 0.1 mm residual error remains from robot, range variation, sampling interval and plate-size error","RQ1-motion diversity / Background","二维轮廓仪多视重建需要把轮廓与机器人位姿组合；运动几何会直接决定手眼参数是否可被可靠估计。","“the line laser sensors do not have the enough scanning range”","PDF p.2, Related Work","Sharifzadeh et al. single-plane; Peters et al. ICP; Xie et al. sphere; Li et al. grinding","supporting literature","High—动机、策略和局限均由正文明确陈述"
"P04","Zhang, Tsang, Yamazaki & Mori—2013","A study on automatic on-machine inspection system for 3D modeling and measurement of cutting tools","International Journal of Advanced Manufacturing Technology 64","Machine-tool-mounted monocular camera; not hand-eye profiler","Virtual 3-D calibration object generated by precise machine motion","Automate on-machine camera calibration and tool reconstruction","Manual modeling and camera calibration impede flexible on-machine inspection","Physical target placement and manual operation are time-consuming and hinder automatic recalibration","Run NC code to move machine and synthesize virtual calibration geometry","predefined automatic execution","N/A","Machine motion is known; no physical target pose needed","Initial installation only; calibration motion is NC-programmed","Not stated","Uses prescribed machine translations; no hand-eye observability analysis","No","No","None","Avoids physical target rather than estimating target error","Not stated","RQ1-Automation / Background","自动执行预定义设备运动可以减少人工操作，但它不等同于由实时观测决定下一步运动。","“the calibration procedure can be performed automatically by running NC code”","PDF p.1, Abstract","Zhang et al. 2010 single-view cutter reconstruction; classical virtual calibration-object work","supporting literature","High—自动执行方式在摘要中明确"
"P05","Zou, Chen & Wei—2021","A Calibration Optimization Method for a Welding Robot Laser Vision System Based on Generative Adversarial Network","IEEE Transactions on Instrumentation and Measurement 70","Robot-mounted camera/laser welding sensor; pixel-to-robot mapping","Iron plate whose plane is defined by three taught points","Optimize structured-light and hand-eye mapping using GAN/semi-supervised data","Manual labeled-data collection is slow, tedious and may lack 3-D diversity","Prior calibration needed many manually labeled images; planar-only samples gave insufficient diversity; sequential calibration propagates error","Teach start/end/third point; robot executes a taught changing-pose scan and records many unlabeled frames","predefined automatic execution","A calibration model/initial network parameters are required; exact hand-eye prior not clearly stated","Yes: iron-plate plane is established from taught points","Yes: three points and start/end trajectory are taught","Ten data groups; about 17,000 unlabeled samples/group; 279 manual baseline images","Explicitly seeks diverse 3-D pose changes, but no observability metric","No","No","Assumes an exact taught plate plane","Teaching supplies plane ground truth; no morphology estimation","Not stated in conclusion","RQ1-Automation / RQ1-motion diversity / Competitor","大量程序化采集能够提高数据量与姿态多样性，但其轨迹和标注平面仍由人工示教提供。","“we taught the robot to move from the teaching starting point to the teaching ending point”","PDF p.5, Sec. III","Zou & Lan 2020 DRL calibration; Zou & Chen 2018 SDP hand-eye","direct competitor","High—方法明确是示教轨迹自动执行，不是闭环采集"
"P06","P. Yang et al.—2022","A Fast Calibration of Laser Vision Robotic Welding Systems Using Automatic Path Planning","IEEE Transactions on Instrumentation and Measurement 71","Self-made camera-plus-line-laser welding sensor, eye-in-hand","Grid/calibration board visible in camera image","Jointly obtain camera, laser-plane and hand-eye calibration with automatic path planning","Traditional calibration relies on tedious manual teaching; pose quality affects time and accuracy","Unknown hand-eye prevents direct conversion from desired image pattern to robot pose; acquisition depends on prior site information and operator experience","One manually adjusted initial view; estimate relations; generate candidate stations and plan feasible paths under optical-axis, collision and joint constraints","model-based automatic planning","No accurate prior required, but a coarse relation is established after initial observation","Board geometry known; initial board pose inferred from image","Yes: one initial exploratory/manual adjustment","Not stated as one number in text; multiple automatically planned stations","Explicit motion selection; small/degenerate rotations rejected and stations vary distance/angle","No online profile servo; path is planned from camera/grid model","No","None","Ideal grid/plane assumed","Future work: systematic vibration errors","RQ1-Automation / RQ1-Bootstrap / RQ1-motion diversity / Competitor","未知手眼会使期望传感器观测无法直接转换为机器人位姿，因此自动采集首先面临启动问题。","“it is impossible to calculate corresponding poses according to laser stripes pattern”","PDF p.1, Introduction","Shi et al. 2005 online HEC; Zhang, Shi & Liu 2007 adaptive motion selection; Zhang et al. 2021 degeneracy","direct competitor","High—自动化流程、人工入口和规划机制均有明确文字/流程图"
"P07","Chen et al.—2018","A Noise-Tolerant Algorithm for Robot-Sensor Calibration Using a Planar Disk of Arbitrary 3-D Orientation","IEEE Transactions on Automation Science and Engineering 15","Robot-mounted 2-D profile sensor","Known-radius planar disk at arbitrary unknown pose","Solve hand-eye rotation and translation robustly from disk chords","Calibration should be less laborious and less sensitive to sensor noise","Earlier sphere/3-D target methods are expensive or operationally complex; two-step procedures may propagate error","For each dataset use two robot positions with same orientation and a linear sweep producing many disk chords; repeat at ≥4 orientations","semi-automatic / predefined execution","No accurate hand-eye prior stated","Known disk radius; disk 3-D pose not required","Robot positions/sweeps must be arranged","At least four data groups; each group uses two end poses and many intermediate scans","Requires multiple orientations and controlled translational sweeps; analyzes noise rather than general degeneracy","No","No","Known disk radius only","Uses a standard known-radius disk","Not stated","A / B artefact simplification / RQ1-motion diversity","已知半径的平面圆盘可在未知空间姿态下提供二维轮廓约束，但采集仍依赖成组的规定运动。","“a planar disk of arbitrary 3-D orientation”","PDF p.1, Abstract","Sphere-based profiler calibration and robot-sensor calibration cited in Related Work","predecessor","High—目标、采集方式和未知量均清楚"
"P08","Chen et al.—2026","A Novel and Real-Time 6-dof Pose Estimation Method Using a 2-D Laser Profiler in a Single Scan","IEEE/ASME Transactions on Mechatronics, early access","Eye-in-hand 2-D laser profiler","Custom four-plane gauge","Recover full 6-DoF profiler-to-gauge pose from one profile; demonstrate hand-eye use","Conventional camera calibration is incompatible with profiler output; existing profiler methods often need multiple scans and cannot provide real-time pose","A single 2-D cross-section lacks the information needed by ordinary image methods","One scan of four visible line segments/three corners; robot hand-eye experiment then uses these poses","manual / measurement method; no autonomous acquisition claimed","No for single-scan gauge pose; hand-eye pipeline not the main focus","Gauge geometry known and sensitivity-designed","Gauge must be placed and visible; robot acquisition automation Not stated","Hand-eye experiment count stated in experiment, not central to Intro","Gauge geometry designed by sensitivity analysis; fabrication-error sensitivity evaluated","No","Yes, but not jointly in hand-eye","Gauge fabrication error","Sensitivity analysis guides gauge design; errors simulated, not estimated as shared unknowns","Requires custom four-plane gauge; working visibility/occlusion constraints; broader limitation Not stated","RQ1-2D-profile limitation / Competitor","二维轮廓仅含一个截面的水平—高度数据，普通相机手眼方法不能直接使用。","“LPFs ... output a 2-D cross-sectional profile”","PDF p.2, Introduction","Planar-constraint and straight-edge profiler methods [32]–[35] in its Introduction","direct competitor","High—2026 原文直接界定二维输出和多扫描缺口"
"P09","Antonello et al.—2017","A Fully Automatic Hand-Eye Calibration System","European Conference on Mobile Robots (ECMR)","Eye-in-hand camera on robot; ROS/ViSP/MoveIt","Asymmetric circle grid/checkerboard at unknown pose","Automatically localize target and calibrate hand-eye in two phases","Repeated hand-eye calibration requires manual intervention; target localization and HEC form a chicken-and-egg problem","Predetermined paths fail if pattern/workcell changes; earlier autonomous method still requires known pattern position","Phase 1 moves hand along base axes and checks image detection at fixed steps; raw HEC localizes board; Phase 2 scans controlled planes in board frame","closed-loop feedback acquisition in Phase 1; model-based controlled acquisition in Phase 2","No","Known pattern geometry; target pose initially unknown","Robot must start where pattern is visible; otherwise no human intervention claimed","Variable in Phase 1; real experiments used three Phase-2 planes and five starts","Varies distances/angles; star drawing discussed but not implemented","Yes: pattern detection decides whether motion continues","No","None","Ideal printed target assumed","Authors plan to compare tool/camera paths and study path–accuracy relation; real test lacks ground truth","RQ1-Bootstrap / RQ1-Automation / Competitor","相机手眼标定已有两阶段闭环方案：先以可见性反馈获得粗外参，再在目标坐标系中受控采集。","“to localize the pattern ... hand-eye calibration is needed”","PDF p.1, Introduction","Tsai & Lenz 1989 autonomous star-drawing HEC; calibration-free SfM HEC by Schmidt et al. 2005","direct competitor","High—论文明确称鸡生蛋问题且给出在线检测停止逻辑"
"P10","Xiao et al.—2022","An automatic calibration algorithm for laser vision sensor in robotic autonomous welding","International Journal of Intelligent Manufacturing 33","Robot-mounted camera/laser welding sensor","Grid board visible in camera and laser images","Automatically calibrate camera, laser plane and hand-eye","Unknown hand-eye makes it hard to keep the grid in the narrow FoV; workers usually collect images manually","Random robot movement may lose the target; existing acquisition depends on workers","Initial visible grid; exploratory motions estimate a simplified image Jacobian; image features close the loop; EKF updates parameters; constrained random rotations acquire data","closed-loop feedback acquisition","No accurate prior; online coarse parameters are estimated","Known grid geometry; pose estimated from image","One initial placement/view is required","More than 30 data sets reported","Random rotations bounded about three axes; constraints keep target visible","Yes, explicitly forms closed-loop image-feature control","No","None","Ideal grid assumed","Future work only briefly says further simplify/improve; no target-error discussion","RQ1-Automation / RQ1-Bootstrap / Competitor","未知手眼与窄视场会使随机运动丢失目标；图像特征反馈可在线学习局部运动—观测关系并维持可见性。","“image features ... are fed back to the robot to form a closed-loop control”","PDF p.2, Introduction","Image-based visual servoing and online Jacobian/EKF references in Related Work","direct competitor","High—这是目录中最明确的闭环采集竞争者，但依赖相机图案"
"P11","Wang et al.—2020","An Efficient Calibration Method of Line Structured Light Vision Sensor in Robotic Eye-in-Hand System","IEEE Sensors Journal 20","Eye-in-hand camera-plus-line-laser sensor","Planar checkerboard","Simultaneously calibrate camera intrinsics, laser plane and hand-eye from same images","Separate calibration of three parameter groups is complicated, inefficient and propagates error","Dedicated 3-D targets are difficult to acquire; separate procedures are time-consuming","Operator changes robot and target poses and captures a common image set used by all three calibrations","manual / semi-automatic computation","No explicit prior hand-eye","Known checkerboard geometry; poses need not be known beforehand","Yes: poses are changed on site","Six target/robot configurations are shown in calibration procedure","Requires varied target/robot poses; no formal selection/degeneracy criterion","No","No","None","Ideal checkerboard geometry","Not stated","Background / Competitor","相机可见棋盘格的线结构光系统能够复用同一批图像同时标定内参、光平面和手眼，但仍要人工改变位姿。","“By changing the poses of robot and calibration target, a set of images ... is captured”","PDF p.1, Abstract","Zhang planar camera calibration; simultaneous structured-light calibration papers [26]–[28]","direct competitor","High—摘要和流程明确；不是 profiler-only"
"P12","Zou & Lan—2020","An End-to-End Calibration Method for Welding Robot Laser Vision Systems With Deep Reinforcement Learning","IEEE Transactions on Instrumentation and Measurement 69","Robot-mounted filtered camera/line-laser welding sensor","Angle iron/workpiece; calibration samples link pixels to robot wrist coordinates","Learn end-to-end pixel-to-wrist mapping to reduce intermediate error propagation","Sequential structured-light and hand-eye errors accumulate; small data and positioning uncertainty harm mapping","Traditional multistage models need visible calibration features and propagate error","Teach robot to scan angle iron with changing pose; program records 1500 samples in <10 min; offline DRL learns mapping","predefined automatic execution after teaching","Training data and a manually taught trajectory required; conventional hand-eye prior avoided","No formal target model, but taught workpiece/feature correspondence supplies labels","Yes: scan trajectory is taught","1500 calibration samples; 279-image traditional baseline","Pose changes deliberately; no observability/online selection criterion","No","No","None","Learns mapping; no surface geometry variable","Generalization outside trained sensor/workpiece conditions Not stated","RQ1-Automation / Competitor","端到端学习可减少分步标定的误差传播，但其数据采集仍依赖人工示教的扫描轨迹。","“We taught the robot to scan the workpieces in a changing pose”","PDF p.3, Introduction/Motivation","Zou & Chen 2018 SDP; classic HEC and covariance work","direct competitor","High—自动执行与人工示教边界明确"
